City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
278,Mercedes,AR,-34.6515,-59.4307,84.18,23,6,8.57,clear sky
279,Jardim,BR,-21.4803,-56.1381,92.35,28,0,5.82,clear sky
280,Saskylakh,RU,71.9167,114.0833,-6.23,96,100,7.76,overcast clouds
281,Muyinga,BI,-2.8333,30.3333,62.67,86,100,2.01,light rain
282,Xichang,CN,27.8964,102.2634,52.61,84,70,2.44,broken clouds
283,Russell,US,32.3502,-85.1999,56.48,96,90,3.44,overcast clouds
284,Kiruna,SE,67.8557,20.2251,-1.28,85,90,4.61,light snow
285,Ugoofaaru,MV,5.6667,73.0,81.63,76,19,8.46,few clouds
286,Hetauda,NP,27.4284,85.0322,63.75,62,0,4.76,clear sky
287,Simiti,CO,7.9579,-73.9436,89.85,54,27,2.98,scattered clouds
288,Barsovo,RU,61.1667,73.1667,3.33,95,86,9.93,overcast clouds
289,Yago,MX,21.8333,-105.0667,79.54,32,17,3.94,few clouds
290,Codrington,AU,-38.2667,141.9667,51.39,70,10,15.12,clear sky
291,Ostersund,SE,63.1792,14.6357,18.61,86,75,11.5,light snow
292,Barguzin,RU,53.6167,109.6167,20.68,90,72,6.24,broken clouds
293,Cervo,ES,43.6702,-7.4101,50.97,71,100,25.77,overcast clouds
294,Batticaloa,LK,7.7102,81.6924,79.3,83,89,8.21,light rain
295,Pueblo Bello,CO,8.2041,-76.526,84.7,71,70,2.51,broken clouds
296,Santa Cruz Cabralia,BR,-16.2781,-39.0247,75.43,94,75,13.8,moderate rain
297,Pandan,PH,14.0453,124.1694,77.31,84,100,21.09,overcast clouds
298,Isangel,VU,-19.55,169.2667,77.11,83,3,5.75,clear sky
299,Sitka,US,57.0531,-135.33,37.29,81,90,12.66,light snow
300,Mount Isa,AU,-20.7333,139.5,82.17,21,51,11.5,light rain
301,Casino,AU,-28.8667,153.05,67.95,88,77,5.75,broken clouds
302,Poum,NC,-20.2333,164.0167,81.39,75,21,9.31,few clouds
303,Tecoanapa,MX,16.5167,-98.75,82.56,67,6,2.33,clear sky
304,Moche,PE,-8.1711,-79.0092,62.78,100,90,14.97,mist
305,East Lansing,US,42.737,-84.4839,26.73,73,90,1.01,overcast clouds
306,Ixtapa,MX,20.7,-105.2,82.13,27,17,3.0,few clouds
307,Flinders,AU,-34.5833,150.8552,62.2,92,100,5.99,moderate rain
308,Centralia,US,46.7162,-122.9543,44.91,83,75,5.75,broken clouds
309,Smoljan,ME,43.0924,19.2286,20.7,94,46,5.53,scattered clouds
310,Faanui,PF,-16.4833,-151.75,80.62,76,99,15.41,overcast clouds
311,Denpasar,ID,-8.65,115.2167,82.06,83,20,1.14,few clouds
312,Yumen,CN,40.2833,97.2,30.04,46,13,11.12,few clouds
313,Trinidad,BO,-14.8333,-64.9,84.18,84,75,0.0,broken clouds
314,Paragominas,BR,-2.9667,-47.4833,89.04,53,91,4.25,overcast clouds
315,Okato,NZ,-39.2,173.8833,63.43,96,57,3.71,broken clouds
316,Mgachi,RU,51.05,142.2667,27.23,79,4,13.82,clear sky
317,Darnah,LY,32.767,22.6367,62.44,66,2,18.25,clear sky
318,Senador Jose Porfirio,BR,-2.5908,-51.9542,78.4,83,95,2.57,overcast clouds
319,Isoka,ZM,-10.1606,32.6335,79.02,37,64,10.38,broken clouds
